sensor,agg,axis,feature_name,feature_importance
tGravityAccMag,sma(),,tGravityAccMag-sma(),0.0009671905411808864
tGravityAccMag,energy(),,tGravityAccMag-energy(),0.0006007740027015095
tGravityAccMag,iqr(),,tGravityAccMag-iqr(),0.0017168735181532612
tGravityAccMag,entropy(),,tGravityAccMag-entropy(),0.0003291510799037297
tGravityAccMag,arCoeff()1,,tGravityAccMag-arCoeff()1,0.006623653446506292
tGravityAccMag,arCoeff()2,,tGravityAccMag-arCoeff()2,0.001725472222336083
tGravityAccMag,arCoeff()3,,tGravityAccMag-arCoeff()3,0.00014801403683121497
tGravityAccMag,arCoeff()4,,tGravityAccMag-arCoeff()4,0.00019159767951911058
tBodyAccJerkMag,mean(),,tBodyAccJerkMag-mean(),0.006190913186754371
tBodyAccJerkMag,std(),,tBodyAccJerkMag-std(),0.000925946961214291
tBodyAccJerkMag,mad(),,tBodyAccJerkMag-mad(),0.0015183834736597105
tBodyAccJerkMag,max(),,tBodyAccJerkMag-max(),0.00023161251970897
tBodyAccJerkMag,min(),,tBodyAccJerkMag-min(),0.00027131156313333786
tBodyAccJerkMag,sma(),,tBodyAccJerkMag-sma(),0.00122860224599133
tBodyAccJerkMag,energy(),,tBodyAccJerkMag-energy(),0.002307717592441556
tBodyAccJerkMag,iqr(),,tBodyAccJerkMag-iqr(),0.006678551236572164
tBodyAccJerkMag,entropy(),,tBodyAccJerkMag-entropy(),0.010282672444782332
tBodyAccJerkMag,arCoeff()1,,tBodyAccJerkMag-arCoeff()1,0.0001604918025244465
tBodyAccJerkMag,arCoeff()2,,tBodyAccJerkMag-arCoeff()2,0.0001834501727676263
tBodyAccJerkMag,arCoeff()3,,tBodyAccJerkMag-arCoeff()3,0.00018189126631257355
tBodyAccJerkMag,arCoeff()4,,tBodyAccJerkMag-arCoeff()4,0.000394392296712804
tBodyGyroMag,mean(),,tBodyGyroMag-mean(),0.0021732883941049204
tBodyGyroMag,std(),,tBodyGyroMag-std(),0.00014357701514855427
tBodyGyroMag,mad(),,tBodyGyroMag-mad(),0.00014906293433972009
tBodyGyroMag,max(),,tBodyGyroMag-max(),0.0004223806740442834
tBodyGyroMag,min(),,tBodyGyroMag-min(),0.00011493502557651584
tBodyGyroMag,sma(),,tBodyGyroMag-sma(),0.00015037257577766374
tBodyGyroMag,energy(),,tBodyGyroMag-energy(),0.0002904585467629487
tBodyGyroMag,iqr(),,tBodyGyroMag-iqr(),0.00012050912858635566
tBodyGyroMag,entropy(),,tBodyGyroMag-entropy(),0.00011978028974461484
tBodyGyroMag,arCoeff()1,,tBodyGyroMag-arCoeff()1,0.00020165039502811346
tBodyGyroMag,arCoeff()2,,tBodyGyroMag-arCoeff()2,0.00037546572315833845
tBodyGyroMag,arCoeff()3,,tBodyGyroMag-arCoeff()3,0.0002389327936308517
tBodyGyroMag,arCoeff()4,,tBodyGyroMag-arCoeff()4,0.0002977710761654709
tBodyGyroJerkMag,mean(),,tBodyGyroJerkMag-mean(),0.002267670983366239
tBodyGyroJerkMag,std(),,tBodyGyroJerkMag-std(),0.0005361487556532426
tBodyGyroJerkMag,mad(),,tBodyGyroJerkMag-mad(),0.00041905493391954763
tBodyGyroJerkMag,max(),,tBodyGyroJerkMag-max(),0.00020218286605943125
tBodyGyroJerkMag,min(),,tBodyGyroJerkMag-min(),0.00018092854476541226
tBodyGyroJerkMag,sma(),,tBodyGyroJerkMag-sma(),0.0022585083036702077
tBodyGyroJerkMag,energy(),,tBodyGyroJerkMag-energy(),0.00031990121368756627
tBodyGyroJerkMag,iqr(),,tBodyGyroJerkMag-iqr(),0.0005000672010127105
tBodyGyroJerkMag,entropy(),,tBodyGyroJerkMag-entropy(),0.00023462505880051616
tBodyGyroJerkMag,arCoeff()1,,tBodyGyroJerkMag-arCoeff()1,0.00035789263171286985
tBodyGyroJerkMag,arCoeff()2,,tBodyGyroJerkMag-arCoeff()2,0.00029219111607133215
tBodyGyroJerkMag,arCoeff()3,,tBodyGyroJerkMag-arCoeff()3,0.00018494349601526713
tBodyGyroJerkMag,arCoeff()4,,tBodyGyroJerkMag-arCoeff()4,0.0002993132925454685
fBodyAcc,mean(),X,fBodyAcc-mean()-X,0.005693739775404217
fBodyAcc,mean(),Y,fBodyAcc-mean()-Y,0.00037163390451627943
fBodyAcc,mean(),Z,fBodyAcc-mean()-Z,0.00020118769586092392
fBodyAcc,std(),X,fBodyAcc-std()-X,0.004375867882350463
fBodyAcc,std(),Y,fBodyAcc-std()-Y,0.00041942923500924413
fBodyAcc,std(),Z,fBodyAcc-std()-Z,0.00019378188862734943
fBodyAcc,mad(),X,fBodyAcc-mad()-X,0.009449128912549964
fBodyAcc,mad(),Y,fBodyAcc-mad()-Y,0.00019739883972462425
fBodyAcc,mad(),Z,fBodyAcc-mad()-Z,0.0003276979499884808
fBodyAcc,max(),X,fBodyAcc-max()-X,0.003718519387613847
fBodyAcc,max(),Y,fBodyAcc-max()-Y,0.00107614263576068
fBodyAcc,max(),Z,fBodyAcc-max()-Z,0.001004455003498821
fBodyAcc,min(),X,fBodyAcc-min()-X,0.0002058967512734004
fBodyAcc,min(),Y,fBodyAcc-min()-Y,0.00018128897088673295
fBodyAcc,min(),Z,fBodyAcc-min()-Z,0.00010793697585432105
fBodyAcc,sma(),,fBodyAcc-sma(),0.00222316498287767
fBodyAcc,energy(),X,fBodyAcc-energy()-X,0.006763886347553735
fBodyAcc,energy(),Y,fBodyAcc-energy()-Y,0.00042345264361174354
fBodyAcc,energy(),Z,fBodyAcc-energy()-Z,0.0004704049915825654
fBodyAcc,iqr(),X,fBodyAcc-iqr()-X,0.0023874534890137526
fBodyAcc,iqr(),Y,fBodyAcc-iqr()-Y,0.00015681574904020918
fBodyAcc,iqr(),Z,fBodyAcc-iqr()-Z,0.0004931919521165853
fBodyAcc,entropy(),X,fBodyAcc-entropy()-X,0.006309745777649183
fBodyAcc,entropy(),Y,fBodyAcc-entropy()-Y,0.0003132808132520496
fBodyAcc,entropy(),Z,fBodyAcc-entropy()-Z,0.00029112783425422665
fBodyAcc,maxInds,X,fBodyAcc-maxInds-X,0.00012997313144261165
