사용일자,요일,노선명,역명,승하차총승객수
2019-01-02,수,3호선,녹번,27057.0
2019-01-02,수,3호선,홍제,38465.0
2019-01-02,수,3호선,무악재,8441.0
2019-01-02,수,3호선,독립문,16115.0
2019-01-02,수,3호선,경복궁,48565.0
2019-01-02,수,3호선,안국,50015.0
2019-01-02,수,3호선,종로3가,27327.0
2019-01-02,수,3호선,을지로3가,25537.0
2019-01-02,수,4호선,충무로,2.0
2019-01-02,수,3호선,동대입구,20434.0
2019-01-02,수,3호선,약수,29411.0
2019-01-02,수,3호선,금호,18025.0
2019-01-02,수,3호선,옥수,20610.0
2019-01-02,수,3호선,압구정,79915.0
2019-01-02,수,3호선,신사,74527.0
2019-01-02,수,3호선,잠원,13515.0
2019-01-02,수,3호선,고속터미널,108547.0
2019-01-02,수,2호선,교대,25348.0
2019-01-02,수,3호선,남부터미널,74703.0
2019-01-02,수,3호선,양재,89572.0
2019-01-02,수,3호선,매봉,25904.0
2019-01-02,수,3호선,도곡,12339.0
2019-01-02,수,3호선,대치,26472.0
2019-01-02,수,3호선,학여울,3970.0
2019-01-02,수,3호선,대청,19878.0
2019-01-02,수,3호선,일원,20533.0
2019-01-02,수,3호선,수서,36672.0
2019-01-02,수,3호선,가락시장,20602.0
2019-01-02,수,3호선,경찰병원,18310.0
2019-01-02,수,3호선,오금,13878.0
2019-01-02,수,4호선,당고개,24697.0
2019-01-02,수,4호선,상계,42309.0
2019-01-02,수,4호선,노원,48535.0
2019-01-02,수,4호선,창동,61280.0
2019-01-02,수,4호선,쌍문,66212.0
2019-01-02,수,4호선,수유,79598.0
2019-01-02,수,4호선,미아,33564.0
2019-01-02,수,4호선,미아사거리,60193.0
2019-01-02,수,4호선,길음,46289.0
2019-01-02,수,4호선,성신여대입구,46517.0
2019-01-02,수,4호선,한성대입구,29944.0
2019-01-02,수,4호선,혜화,80516.0
2019-01-02,수,4호선,동대문,48506.0
2019-01-02,수,2호선,동대문역사문화공원,43423.0
2019-01-02,수,4호선,충무로,69084.0
2019-01-02,수,4호선,명동,77500.0
2019-01-02,수,4호선,회현,67112.0
2019-01-02,수,4호선,서울역,37770.0
2019-01-02,수,4호선,숙대입구,32573.0
2019-01-02,수,4호선,삼각지,11000.0
2019-01-02,수,4호선,신용산,37096.0
2019-01-02,수,4호선,이촌,20031.0
2019-01-02,수,4호선,동작,4789.0
2019-01-02,수,4호선,총신대입구,48106.0
2019-01-02,수,2호선,사당,52469.0
2019-01-02,수,4호선,남태령,2828.0
2019-01-02,수,4호선,서울역,7140.0
2019-01-02,수,1호선,남영,23180.0
2019-01-02,수,1호선,용산,79136.0
2019-01-02,수,1호선,노량진,22937.0
2019-01-02,수,1호선,대방,31307.0
2019-01-02,수,1호선,영등포,96053.0
2019-01-02,수,2호선,신도림,7767.0
2019-01-02,수,1호선,신길,18753.0
2019-01-02,수,1호선,구로,43510.0
2019-01-02,수,1호선,가산디지털단지,42228.0
2019-01-02,수,1호선,금천구청,24144.0
2019-01-02,수,1호선,독산,37518.0
2019-01-02,수,1호선,지제,4420.0
2019-01-02,수,1호선,개봉,50173.0
2019-01-02,수,1호선,오류동,24992.0
2019-01-02,수,1호선,주안,44369.0
2019-01-02,수,1호선,구일,13364.0
2019-01-02,수,1호선,온수,14007.0
2019-01-02,수,4호선,이촌,7703.0
2019-01-02,수,3호선,옥수,80.0
2019-01-02,수,1호선,외대앞,20333.0
2019-01-02,수,1호선,신이문,18427.0
2019-01-02,수,1호선,석계,20638.0
2019-01-02,수,1호선,광운대,17490.0
2019-01-02,수,1호선,월계,11313.0
2019-01-02,수,1호선,녹천,9422.0
2019-01-02,수,1호선,방학,20582.0
2019-01-02,수,1호선,도봉,12844.0
2019-01-02,수,1호선,도봉산,12273.0
2019-01-02,수,4호선,산본,39222.0
2019-01-02,수,4호선,대야미,8784.0
2019-01-02,수,4호선,한대앞,16889.0
2019-01-02,수,4호선,중앙,36063.0
2019-01-02,수,4호선,고잔,17382.0
2019-01-02,수,4호선,정왕,16536.0
2019-01-02,수,4호선,오이도,19246.0
2019-01-02,수,4호선,수리산,8227.0
2019-01-02,수,4호선,선바위,18176.0
2019-01-02,수,4호선,경마공원,3669.0
2019-01-02,수,4호선,대공원,4714.0
2019-01-02,수,4호선,과천,10253.0
2019-01-02,수,4호선,정부과천청사,30432.0
2019-01-02,수,4호선,평촌,38324.0
2019-01-02,수,2호선,선릉,31971.0
2019-01-02,수,3호선,도곡,14250.0
2019-01-02,수,3호선,수서,29785.0
2019-01-02,수,3호선,백석,24292.0
2019-01-02,수,1호선,회기,53833.0
2019-01-02,수,4호선,서울역,9577.0
2019-01-02,수,2호선,신촌,2177.0
2019-01-02,수,2호선,홍대입구,4180.0
2019-01-02,수,5호선,김포공항,1.0
2019-01-02,수,5호선,방화,14697.0
2019-01-02,수,5호선,개화산,12543.0
